Epoch,Generator Loss Mean,Discriminator Loss Mean,Train Elapsed Time
1,0.2766413245251617,1.9898711798282771,74.0835615
2,0.1377510811561922,1.7113354239039695,75.7370705
3,0.1380164794208189,1.6307730010877817,76.4036205
4,0.0129020710383208,1.6075261661735101,76.6990251
5,0.0652505844377745,1.8274763746139331,77.0106828
6,0.0789470976764838,1.9938291414425924,76.9969184
7,0.0358455046408404,1.9608003214383736,76.9465772
8,0.0306262251897118,1.9629503010939329,76.9036801
9,0.1020293895540258,1.9387451226894672,76.8925235
10,0.0509672288302308,1.9480458903007019,76.8441469
11,0.0332388817302835,1.9030579966612351,76.8340154
12,0.0889608790189064,1.9012830929878430,76.7916365
13,0.0712276388188072,1.8719466194892540,76.8506064
