Epoch,Generator Loss Mean,Discriminator Loss Mean,Train Elapsed Time
1,255.8235307461738728,6345.4456125478600370,107.5398937
2,238591.3551180284994189,80919.9063391567178769,107.7353261
3,317.7534960493469498,545.4170152526903621,108.2660048
4,31.6861880698394778,131.0550323744309082,109.0854881
5,36685.6697980152530363,12170.7853748960515077,108.9758681
6,-0.4243853833580017,38.9261544153404202,109.0142834
7,11043.6371282846976101,14770.0556953048962896,109.0830219
8,15.0412240754127495,87.6295208963334602,109.0413434
9,21544.6382775582787872,19557.9767169827900943,109.1061043
10,37.2473145130920429,144.1593347279989814,107.9309910
11,11200.9084506217950548,12690.9305550465724082,109.0767781
12,10.7236108806037898,118.2604046516251515,109.1279342
13,19194.8664731785211188,20432.2787287568753527,109.2428216
14,-1.5745942730140685,137.6517650660002232,109.0265786
15,11.8829827071380620,44.7671768436336492,107.3618426
16,17618.3066250586889510,18200.7690482151047036,107.8823000
