Epoch,Generator Loss Mean,Discriminator Loss Mean,Train Elapsed Time
1,0.6185757069145509,0.7584409494555961,59.5221022
2,1.5898737433151557,0.1048449217890336,59.8553602
3,2.0481738513096786,0.0591146409066986,59.6799667
4,2.5317938440503220,0.0432909888378419,59.5751851
5,2.6008366388388171,0.0260452996322807,59.5758951
6,3.1299116660196047,0.0212033636893792,59.6307117
7,3.5777707640081644,0.0270364815739576,59.6054997
8,4.0463461665770950,0.0212156751028301,59.6009714
9,3.9184959823122392,0.0109693118185783,59.5006146
10,3.2375185560339537,0.0072592429371584,59.4109701
11,3.6786715680590043,0.0072728963366619,59.3755529
12,3.6336127280806885,0.0038297555748345,59.3455228
13,2.9940059578571563,0.0127723269985533,59.4100937
