Epoch,Generator Loss Mean,Discriminator Loss Mean,Train Elapsed Time
1,5.7779351186752317,10.1081992155313500,67.4294991
2,0.5938005301356316,1.2467002558708191,68.4544227
3,0.1817108143866062,0.6487735337018967,68.8527380
4,0.0466769159375690,1.0010624742507934,69.5842590
5,0.1165104355849326,1.1835160255432129,70.0963671
6,0.0246143499016762,0.9928896737098694,70.2209575
7,0.1103897318989038,1.1407157707214355,70.3062484
8,0.1011992616951466,1.1231792616844176,70.3119117
9,0.0286926082614809,1.0761263251304627,70.2781319
10,0.0367168461903930,1.0761487507820129,70.1351675
11,0.0004014445841312,1.0577414584159852,70.1975564
12,0.0129745061416179,1.0658364725112914,70.2684068
13,0.0724331176280975,1.1177919244766235,70.3346820
