Epoch,Generator Loss Mean,Discriminator Loss Mean,Train Elapsed Time
1,90.7932060415094497,41.4409266890901478,105.0767642
2,1.0684019065264501,2.9065174352038992,106.1973874
3,0.3314771801233292,0.9115691817168033,106.2159432
4,0.3913519924901652,0.9036182047742786,106.4902821
5,0.2559642927213149,0.8527088689081597,106.5091293
6,0.2584287851597323,0.8154348929723104,106.5070564
7,0.3354773178245082,0.7630867100123203,106.4894854
8,0.7422355548901991,0.4562764045867053,106.1599395
9,0.9293685532880552,0.3407964911876303,106.1345926
10,1.0824171607241486,0.2935877383093942,106.1689905
11,1.1801475981871288,0.1897069976072420,106.2194301
12,1.3202666459661541,0.2090879604784828,106.2634415
13,1.5244874087246982,0.1690285178748044,105.9118554
