Epoch,Generator Loss Mean,Discriminator Loss Mean,Train Elapsed Time
1,87.4212259833509933,51.0352967656933885,59.4891820
2,1.7791322504098599,0.1348713794335102,59.9568960
3,2.5893220957846212,0.0741857872579623,60.1382084
4,2.7865778398819461,0.0358944668884923,60.1103069
5,2.8617618178518920,0.0319476302300665,60.0625622
6,3.3112585899921565,0.0287819639807379,60.0196865
7,3.9450939796291866,0.0319111650950128,59.9770756
8,3.9730679428157134,0.0253914897831493,59.8112394
9,3.7489236411757960,0.0190939226188279,59.8087070
10,3.9965957473867979,0.0204236058086619,59.8341038
11,3.7805627317955861,0.0235539647103276,59.7867082
12,4.0299732337395353,0.0330920841274747,59.8726850
13,4.2728928751670399,0.0299338170658792,59.8220585
