Epoch,Generator Loss Mean,Discriminator Loss Mean,Train Elapsed Time
1,0.7932788259469163,2.6516893379963360,73.8757255
2,0.1156503142839751,1.9811474128793447,75.7283216
3,0.0832309697468120,1.8469864905644686,76.5161894
4,0.0934053358132354,1.8397948245207469,76.9728464
5,0.0837329661097521,1.9236623537846100,77.2244000
6,0.0853923425326148,1.9564282022989714,77.3153051
7,0.0501925279386342,1.9710793342345800,77.2949591
8,0.0389553423708257,1.9868740080258784,77.2505440
9,0.0456900057182886,1.9864886536812172,77.3400377
10,0.0461195431625805,1.9890055220860701,77.4040362
11,0.0383183954713436,1.9915475455614238,77.5103387
12,0.0503140235266003,1.9912306398917468,77.6896776
13,0.0381807498036860,1.9927439001890330,77.5483306
