Epoch,Generator Loss Mean,Discriminator Loss Mean,Train Elapsed Time
1,158.3141818841298516,108.1035728996450302,103.5781821
2,1.0520034952822961,2.2856100129358694,105.4795461
3,0.2772743394880584,0.2748107745340376,105.9654832
4,0.1800183275234744,0.3876584549293374,106.2966672
5,0.0784923533739691,0.1164841155211131,105.7751525
6,0.0829690441940770,0.0655361819081008,105.3829937
7,0.0736889668994329,0.0422414749804320,105.4233053
8,0.0755870736373419,0.0386865626399716,105.5434755
9,0.0756920254930402,0.0377411201144710,105.7229655
10,0.0610742605093754,0.0234125877137889,105.7899705
11,0.0464123650030656,0.0214305977816835,105.6766531
12,0.0480346887400656,0.0139997230250050,105.3826109
13,0.0320008265588320,0.0072245697603759,105.2364155
