Epoch,Generator Loss Mean,Discriminator Loss Mean,Train Elapsed Time
1,-34344519.0446001589298248,74427650.4292066842317581,77.5585258
2,79074.1851631066674599,381925.8279982836102135,78.8486982
3,117152.7081200281827478,68977.1086206707404926,78.5889172
4,20066.6184735909482697,4662.8244466749138155,78.3764343
5,7127754.0770457340404391,12795038.4383641127496958,79.0152664
6,13969.4601855155742669,3770.0985290096737117,78.5976187
7,96315.9089414034096990,17426.7629361193976365,78.6595000
8,52112.3505919621529756,21336.4204781340085901,78.6320677
9,4303.3807733578560146,3182.4782869203063456,78.3470873
10,1128954.7808171464130282,1117919.7949110709596425,78.4553207
11,11710.2055908594375069,2250.4473309410163893,78.4668259
12,644517.1082360682776198,200742.3701751854387112,78.1812939
13,2702.3118596199233252,99.9630055645412057,78.2854281
14,45428.5034165137840318,24393.9078529267462727,78.3074720
15,275095.3018436768325046,856164.9351629178272560,78.2665526
